from_desc,conditions,Home,Primary Care,Ophthalmology,Immunology,Cardiology,Other Dr Specialty,Urology,Gastroenterology,General Surgery,OB/GYN,Nephrology,Orthopedics,Psychiatry,Neurology,Oncology,Dermatology,Otorhinolaryngology
Home,C,467.51387889264,69.5677271834269,55.5431570344135,46.3238665864184,59.6907325586836,49.3245881646798,57.1357456683853,50.581781013007,74.5804604389707,69.683069823681,64.4566263228514,51.6840001846449,42.9291079348282,54.5051061103483,47.6183490400728,60.5107665051283,52.0195486218445
Primary Care,C,79.7324670718592,37.0600407493696,27.8827692529511,23.5729751624044,27.2005770733156,25.5534622708362,22.5109249054609,23.5349481286864,24.8995500741264,31.0141848684019,20.8555079325688,24.3791775685388,18.8069456509264,21.8332444399939,24.3727039731983,26.9314737876879,22.0205767000238
Ophthalmology,C,63.3647491592343,32.5882238964676,17.9635423651348,11.1971363467507,24.5696512225543,21.6477787865961,20.1110720089331,22.5388949876525,19.5299229985631,24.0929723210405,19.269267054726,23.8304062142312,21.465249067987,20.2702422555592,19.2588021029468,19.2324369644041,21.4310091727632
Immunology,C,37.2591861417273,32.5015528015529,14.2784408861904,13.102327290073,17.8609459764676,22.4857582514493,5.70468323206992,14.3912768431607,9.7433903294283,42.4519569987681,12.8082967978989,26.8450210847807,4.98739820972765,7.35714879870107,14.9863228526606,14.6672089612653,13.9642212248352
Cardiology,C,78.2699098207529,31.4397330128169,24.3940398359276,21.0759338959135,25.0229975004407,20.3320762381937,19.3049254409603,21.3724779576182,15.4827618327039,24.6120295797416,18.1751438615271,20.8020893543715,18.8188828492524,17.8074807520408,17.7804385403419,24.4329143261023,17.6276660286124
Other Dr Specialty,C,66.5905912863713,28.4844543913649,21.9583916158626,14.0368566269244,20.613794187654,12.3642342863905,20.4852551408353,17.6884176401347,16.3116363652958,18.7157896190146,15.5271218942853,17.4222857036238,13.0195704634138,17.7056927725205,13.7407175824838,17.6715195742926,18.8950419481287
Urology,C,74.5969818632017,25.3280244501437,21.2479818679101,2.32566733709259,23.0961540070096,17.8038645113674,18.4730793302982,19.51001469094,15.9787221757488,17.6835155347431,25.5186899488032,20.067425808392,14.1215886804729,30.1044439431537,16.5857130959811,19.5430294793834,22.7260413073858
Gastroenterology,C,63.6167459094134,31.0327375572876,17.3419456932663,9.73387290583748,23.9841650360265,22.305463758857,14.4962358952257,12.4130696982581,13.6762757563911,9.91343003909781,16.5501769215354,11.9650232112393,17.6741355329803,22.1973290088981,17.0315740268244,19.6434022296505,40.6616524582739
General Surgery,C,86.2334786185878,27.828183100464,23.3770144019728,6.48621543219673,21.7022336448869,12.8261298119945,18.5041370198281,18.0911279416058,12.1634674377937,10.400682839738,13.1805045727083,15.7984625746407,19.9051572333127,14.0533941696423,16.3275537783023,31.4928549726553,11.6667844998897
OB/GYN,C,71.0502038861978,32.1302054373848,20.925097916557,81.9292478486467,16.0940385789736,22.8844229260921,13.3693547940908,14.7230881706423,27.5041631787907,21.8333029333758,26.855146566624,24.0464207233997,14.29927785097,12.9166845615265,18.9068103663912,38.7181950739849,29.6587042598742
Nephrology,C,92.8117602859433,19.8200975251695,15.9119313046166,12.1299293721756,14.5053618845365,16.9510898371223,13.5773272197415,12.0245912632774,9.8521039907923,3.94539418606837,6.43223795806466,16.8137981902232,4.46508920016652,23.4692593774531,15.0495688342516,5.29337504802471,13.0742564982879
Orthopedics,C,63.3715034834923,29.1634460951623,19.1626248327749,10.60564748203,19.84585033432,17.4715355138761,24.0545040082709,14.5629160407478,25.740112472132,16.6514035444635,15.5290939901479,14.3171449836326,10.8184813571433,20.7671732688159,18.5086801383752,21.9279481446517,17.5000794320697
Psychiatry,C,49.4414264848214,18.7540723514334,20.0173277313898,10.4380665946023,20.8096532932355,16.2514217947624,9.44333503416849,13.0128217917868,28.31316667936,14.9456277347351,17.4489361966224,9.56578804511649,16.96450041175,12.1409543378526,8.41334334228592,11.0322733330187,12.1839827853018
Neurology,C,65.768503308686,23.722159820728,24.4858915552312,19.9460046995456,15.8367976204026,17.870807868469,10.3294487258438,14.3441921291341,20.2410281412359,19.5499577479991,8.22125541295064,16.7421555265908,18.3685979520836,15.0056242322545,15.6306463522494,17.5091686392985,21.3549672200679
Oncology,C,54.8327796182491,24.9284419042946,18.936767487038,12.8661568847344,19.3394045029966,13.1424544640601,19.3654071598119,14.2701591897255,11.0989056013279,17.8698332321935,5.32029275473006,14.0268193234295,13.6916656416198,17.6323949840924,9.23685269324707,20.6691041725832,11.6249414031081
Dermatology,C,49.2247442209525,30.5908678314423,20.1575711847453,15.9311297226025,25.1501739558278,15.8347117204885,20.5221562349691,14.2947754454392,11.1033157715373,28.5138057437217,9.96539336091397,28.8790070083246,12.316088871117,15.7137880217135,15.0715360935065,16.8950643329377,21.8325237745743
Otorhinolaryngology,C,47.7228248213417,26.1151999761858,36.6746949324998,19.0810110072891,18.1356887097282,17.2076636918719,17.2470524615944,30.1870917162346,21.6558931553891,10.1721025438786,22.7174254897646,33.8260187668977,22.9778120018438,11.6271567237212,42.1097204839871,20.539716651381,13.693382522352
